A/C,RH,UT,OT,RH_UT,RH_OT,N,UT_OT
housedust MR,0.274350649,0.313311688,0.207792208,0.043831169,0.063311688,0.060064935,0.037337662
housedust HR,0.327014218,0.267772512,0.142180095,0.08056872,0.087677725,0.045023697,0.049763033
housedust LR,0.257918552,0.352941176,0.221719457,0.027149321,0.036199095,0.040723982,0.063348416
housedust KR,0,1,0,0,0,0,0
housedust NR,0.159509202,0.404907975,0.27607362,0.030674847,0.036809816,0.079754601,0.012269939
cottondust MR,0.307692308,0.307692308,0.185897436,0.043269231,0.067307692,0.056089744,0.032051282
cottondust HR,0.291866029,0.301435407,0.133971292,0.105263158,0.057416268,0.033492823,0.076555024
cottondust LR,0.237654321,0.339506173,0.225308642,0.046296296,0.043209877,0.070987654,0.037037037
cottondust KR,1,0,0,0,0,0,0
cottondust NR,0.222641509,0.324528302,0.245283019,0.030188679,0.083018868,0.049056604,0.045283019
aspergilus MR,0.238853503,0.318471338,0.146496815,0.082802548,0.076433121,0.070063694,0.066878981
aspergilus HR,0.233918129,0.257309942,0.216374269,0.081871345,0.099415205,0.052631579,0.058479532
aspergilus LR,0.291946309,0.355704698,0.177852349,0.030201342,0.05033557,0.046979866,0.046979866
aspergilus KR,0.333333333,0,0.333333333,0.166666667,0,0,0.166666667
aspergilus NR,0.293375394,0.3170347,0.227129338,0.034700315,0.05362776,0.052050473,0.022082019
pollen MR,0.274390244,0.326219512,0.170731707,0.06097561,0.070121951,0.057926829,0.039634146
pollen HR,0.27444795,0.299684543,0.164037855,0.066246057,0.075709779,0.050473186,0.069400631
pollen LR,0.282828283,0.326599327,0.212121212,0.033670034,0.047138047,0.063973064,0.033670034
pollen KR,0.2,0,0.8,0,0,0,0
pollen NR,0.256756757,0.304054054,0.344594595,0.006756757,0.040540541,0.033783784,0.013513514
parthenium MR,0.299500832,0.297836938,0.174708819,0.038269551,0.078202995,0.071547421,0.039933444
parthenium HR,0.241457859,0.30523918,0.177676538,0.079726651,0.077448747,0.0523918,0.066059226
parthenium LR,0.273809524,0.353174603,0.261904762,0.035714286,0.01984127,0.03968254,0.015873016
parthenium KR,0,0,1,0,0,0,0
parthenium NR,0.2734375,0.3828125,0.234375,0.0390625,0.03125,0.015625,0.0234375
cockroach MR,0.29380531,0.300884956,0.208849558,0.047787611,0.056637168,0.054867257,0.037168142
cockroach HR,0.266666667,0.295555556,0.135555556,0.068888889,0.084444444,0.084444444,0.064444444
cockroach LR,0.266666667,0.380392157,0.231372549,0.043137255,0.039215686,0.015686275,0.023529412
cockroach KR,0.4,0,0.6,0,0,0,0
cockroach NR,0.22972973,0.344594595,0.277027027,0.02027027,0.067567568,0.033783784,0.027027027
catdander MR,0.25,0.75,0,0,0,0,0
catdander HR,0,0.4,0.2,0,0.4,0,0
catdander LR,0.1875,0.375,0.25,0.125,0.0625,0,0
catdander KR,0.276957164,0.316100443,0.200886263,0.050221566,0.059084195,0.056129985,0.040620384
catdander NR,0.25,0.272727273,0.113636364,0.045454545,0.159090909,0.045454545,0.113636364
dogfur MR,0.137931034,0.344827586,0.172413793,0.068965517,0.172413793,0.068965517,0.034482759
dogfur HR,0.111111111,0.333333333,0.222222222,0.222222222,0,0,0.111111111
dogfur LR,0.297297297,0.135135135,0.081081081,0.135135135,0.135135135,0.081081081,0.135135135
dogfur KR,0.276546982,0.321619557,0.201680672,0.045836516,0.060351413,0.054239878,0.039724981
dogfur NR,0.307692308,0.307692308,0.205128205,0.076923077,0.025641026,0.051282051,0.025641026
roaddust KR,0.274068869,0.316936051,0.198172874,0.05059733,0.063246662,0.054813774,0.042164441
oldpdust LR,0,0.333333333,0.666666667,0,0,0,0
oldpdust KR,0.274011299,0.317090395,0.197033898,0.050847458,0.063559322,0.055084746,0.042372881
oldpdust MR,1,0,0,0,0,0,0
oldpdust NR,0.333333333,0.333333333,0.333333333,0,0,0,0
PSdust LR,0,1,0,0,0,0,0
PSdust KR,0.273624824,0.315937941,0.19887165,0.05077574,0.063469676,0.055007052,0.042313117
PSdust MR,0.5,0.5,0,0,0,0,0
PSdust NR,1,0,0,0,0,0,0
MilkP MR,0.292682927,0.243902439,0.195121951,0.073170732,0.12195122,0,0.073170732
MilkP HR,0,0.833333333,0.166666667,0,0,0,0
MilkP LR,0.261744966,0.342281879,0.208053691,0.053691275,0.073825503,0.020134228,0.040268456
MilkP KR,0.19047619,0.23015873,0.158730159,0.031746032,0.071428571,0.261904762,0.055555556
MilkP NR,0.286103542,0.323342416,0.201634877,0.051771117,0.059037239,0.038147139,0.039963669
MilkC MR,0,0.444444444,0.111111111,0.111111111,0.333333333,0,0
MilkC HR,0,0.25,0.5,0.25,0,0,0
MilkC LR,0.1875,0.4375,0.125,0.03125,0.09375,0.03125,0.09375
MilkC KR,0.27756654,0.314828897,0.196197719,0.05095057,0.062357414,0.057794677,0.040304183
MilkC NR,0.301587302,0.285714286,0.26984127,0.031746032,0.031746032,0.015873016,0.063492063
curd MR,0.098039216,0.431372549,0.196078431,0.117647059,0.078431373,0.039215686,0.039215686
curd HR,0.285714286,0.428571429,0,0.142857143,0.142857143,0,0
curd LR,0.226027397,0.390410959,0.164383562,0.061643836,0.02739726,0.068493151,0.061643836
curd KR,0.316715543,0.271260997,0.215542522,0.046920821,0.057184751,0.061583578,0.030791789
curd NR,0.249534451,0.34264432,0.188081937,0.044692737,0.078212291,0.044692737,0.052141527
coffee MR,0.27027027,0.243243243,0.216216216,0.108108108,0.054054054,0.027027027,0.081081081
coffee HR,0.181818182,0.363636364,0.363636364,0,0.090909091,0,0
coffee LR,0.19047619,0.4,0.2,0.114285714,0.00952381,0.00952381,0.076190476
coffee KR,0.276819923,0.317049808,0.196360153,0.046934866,0.059386973,0.066091954,0.037356322
coffee NR,0.305309735,0.287610619,0.194690265,0.030973451,0.10619469,0.030973451,0.044247788
tea MR,0.244897959,0.367346939,0.153061224,0.06122449,0.081632653,0.040816327,0.051020408
tea HR,0.129032258,0.322580645,0.258064516,0.064516129,0.064516129,0,0.161290323
tea LR,0.229437229,0.402597403,0.177489177,0.051948052,0.069264069,0.043290043,0.025974026
tea KR,0.297986577,0.277852349,0.201342282,0.059060403,0.06442953,0.060402685,0.038926174
tea NR,0.273584906,0.330188679,0.213836478,0.025157233,0.050314465,0.059748428,0.047169811
beef NR,0.24822695,0.312056738,0.276595745,0.04964539,0.070921986,0.014184397,0.028368794
beef KR,0.279543602,0.317848411,0.189894051,0.052159739,0.06193969,0.057049715,0.041564792
beef MR,0.076923077,0.384615385,0.153846154,0,0.153846154,0.076923077,0.153846154
beef LR,0.261904762,0.285714286,0.19047619,0.023809524,0.047619048,0.119047619,0.071428571
chicken MR,0.253731343,0.328358209,0.134328358,0.059701493,0.089552239,0.014925373,0.119402985
chicken HR,0.0625,0.375,0.125,0.0625,0.125,0.1875,0.0625
chicken LR,0.259433962,0.396226415,0.160377358,0.061320755,0.070754717,0.014150943,0.037735849
chicken KR,0.225596529,0.281995662,0.242950108,0.047722343,0.047722343,0.10845987,0.045553145
chicken NR,0.31934033,0.313343328,0.187406297,0.047976012,0.067466267,0.031484258,0.032983508
mutton MR,0.15942029,0.376811594,0.188405797,0.101449275,0.028985507,0.057971014,0.086956522
mutton HR,0.090909091,0.454545455,0.136363636,0.045454545,0.181818182,0.045454545,0.045454545
mutton LR,0.286821705,0.333333333,0.124031008,0.062015504,0.07751938,0.046511628,0.069767442
mutton KR,0.281632653,0.296598639,0.227210884,0.040816327,0.055782313,0.068027211,0.029931973
mutton NR,0.284188034,0.329059829,0.177350427,0.055555556,0.070512821,0.036324786,0.047008547
egg MR,0.261363636,0.318181818,0.136363636,0.056818182,0.125,0,0.102272727
egg HR,0.285714286,0.214285714,0.071428571,0,0.214285714,0.142857143,0.071428571
egg LR,0.301886792,0.320754717,0.194968553,0.050314465,0.037735849,0.031446541,0.062893082
egg KR,0.243181818,0.318181818,0.206818182,0.045454545,0.054545455,0.097727273,0.034090909
egg NR,0.288088643,0.317174515,0.203601108,0.05401662,0.063711911,0.038781163,0.034626039
fishA MR,0.138461538,0.369230769,0.184615385,0.061538462,0.107692308,0.061538462,0.076923077
fishA HR,0.166666667,0.666666667,0.166666667,0,0,0,0
fishA LR,0.261682243,0.317757009,0.186915888,0.079439252,0.070093458,0.023364486,0.060747664
fishA KR,0.254901961,0.31372549,0.212121212,0.046345811,0.055258467,0.087344029,0.03030303
fishA NR,0.313691508,0.310225303,0.190641248,0.043327556,0.064124783,0.034662045,0.043327556
fishB MR,0.142857143,0.333333333,0.142857143,0.095238095,0.119047619,0.023809524,0.142857143
fishB HR,0.333333333,0.666666667,0,0,0,0,0
fishB LR,0.353658537,0.341463415,0.182926829,0.048780488,0.030487805,0.030487805,0.012195122
fishB KR,0.263017356,0.307076101,0.20293725,0.050734312,0.06141522,0.077436582,0.037383178
fishB NR,0.275268817,0.320430108,0.202150538,0.047311828,0.07311828,0.030107527,0.051612903
crab MR,0.276595745,0.255319149,0.063829787,0.042553191,0.191489362,0.042553191,0.127659574
crab HR,0.235294118,0.235294118,0.176470588,0.058823529,0.117647059,0,0.176470588
crab LR,0.27027027,0.351351351,0.18018018,0.072072072,0.045045045,0.027027027,0.054054054
crab KR,0.272177419,0.306451613,0.206653226,0.049395161,0.064516129,0.064516129,0.036290323
crab NR,0.28515625,0.359375,0.19921875,0.046875,0.0390625,0.03515625,0.03515625
prawns MR,0.269230769,0.365384615,0.134615385,0.038461538,0.115384615,0.019230769,0.057692308
prawns HR,0.107142857,0.5,0.142857143,0.107142857,0.071428571,0.071428571,0
prawns LR,0.317919075,0.317919075,0.173410405,0.075144509,0.052023121,0.01734104,0.046242775
prawns KR,0.263888889,0.295833333,0.208333333,0.048611111,0.063888889,0.077777778,0.041666667
prawns NR,0.284444444,0.333333333,0.202222222,0.042222222,0.06,0.035555556,0.042222222
shark MR,0,0.5,0,0.5,0,0,0
shark HR,0,1,0,0,0,0,0
shark LR,0,0,1,0,0,0,0
shark KR,0.272727273,0.318551367,0.199556541,0.047302291,0.063562454,0.056910569,0.041389505
shark NR,0.328125,0.28125,0.140625,0.109375,0.0625,0.015625,0.0625
avaraikai MR,0.169491525,0.457627119,0.169491525,0.06779661,0.033898305,0.033898305,0.06779661
avaraikai HR,0.2,0.2,0.1,0.2,0.2,0,0.1
avaraikai LR,0.215384615,0.346153846,0.184615385,0.046153846,0.084615385,0.053846154,0.069230769
avaraikai KR,0.291723202,0.287652646,0.204884668,0.046132972,0.061058345,0.075983718,0.03256445
avaraikai NR,0.277207392,0.338809035,0.197125257,0.05338809,0.061601643,0.026694045,0.045174538
banana MR,0.181818182,0.454545455,0.272727273,0.090909091,0,0,0
banana HR,0,1,0,0,0,0,0
banana LR,0.170212766,0.425531915,0.234042553,0.085106383,0.042553191,0.021276596,0.021276596
banana KR,0.26984127,0.298941799,0.209876543,0.048500882,0.067901235,0.059964727,0.044973545
banana NR,0.32173913,0.373913043,0.130434783,0.052173913,0.047826087,0.039130435,0.034782609
beans MR,0.341463415,0.268292683,0.195121951,0.036585366,0.048780488,0.048780488,0.06097561
beans HR,0.214285714,0.5,0.071428571,0,0,0.071428571,0.142857143
beans LR,0.230088496,0.411504425,0.123893805,0.075221239,0.044247788,0.039823009,0.075221239
beans KR,0.260089686,0.251121076,0.210762332,0.031390135,0.049327354,0.179372197,0.01793722
beans NR,0.283599089,0.310933941,0.216400911,0.051252847,0.074031891,0.027334852,0.036446469
beetroot MR,0.204545455,0.431818182,0.113636364,0.113636364,0.068181818,0,0.068181818
beetroot HR,0,0,0.833333333,0,0,0,0.166666667
beetroot LR,0.232394366,0.394366197,0.169014085,0.042253521,0.077464789,0.021126761,0.063380282
beetroot KR,0.293963255,0.286089239,0.217847769,0.049868766,0.057742782,0.065616798,0.028871391
beetroot NR,0.264392324,0.336886994,0.174840085,0.049040512,0.068230277,0.053304904,0.053304904
brinjal MR,0.2875,0.3125,0.15,0.1,0.0625,0.025,0.0625
brinjal HR,0.466666667,0.133333333,0.133333333,0.133333333,0,0,0.133333333
